Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [�S/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [�g/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [�mol/(m2*s)],Depth [m],,,
4/1/1980 21:07,1.816,22.76,0.531,1.026,1078.9,998.008,0,3.311,3.311,6.904,8.96,-9.879,100.015,8.575,224.654,1.816,,,
4/1/1980 21:07,1.854,22.76,0.531,1.026,1079.1,998.009,0,3.251,3.251,6.327,8.959,-9.726,99.989,8.572,208.513,1.854,,,
4/1/1980 21:07,1.883,22.759,0.532,1.026,1079.4,998.009,0,3.183,3.183,6.371,8.959,-9.612,99.918,8.566,217.522,1.883,,,
4/1/1980 21:07,1.917,22.761,0.531,1.026,1079.2,998.009,0,3.146,3.146,6.608,8.959,-9.688,99.929,8.567,191.997,1.917,,,
4/1/1980 21:07,1.944,22.761,0.532,1.026,1079.5,998.009,0,3.153,3.153,6.978,8.959,-9.65,99.952,8.569,197.816,1.944,,,
4/1/1980 21:07,1.944,22.76,0.531,1.026,1079,998.009,0,3.101,3.101,6.312,8.959,-9.268,100.049,8.577,186.649,1.944,,,
4/1/1980 21:07,1.935,22.761,0.531,1.026,1078.9,998.008,0,3.078,3.078,6.504,8.958,-9.078,100.047,8.577,194.719,1.935,,,
4/1/1980 21:07,1.944,22.761,0.531,1.026,1078.9,998.009,0,3.296,3.296,6.371,8.957,-9.078,100.204,8.591,190.308,1.944,,,
4/1/1980 21:07,1.982,22.761,0.531,1.026,1079,998.009,0,3.453,3.453,7.097,8.957,-9.04,100.21,8.591,190.402,1.982,,,
4/1/1980 21:07,2.021,22.759,0.531,1.026,1078.8,998.009,0,3.221,3.221,6.815,8.956,-8.925,100.226,8.592,183.646,2.021,,,
4/1/1980 21:07,2.059,22.756,0.531,1.026,1079.2,998.01,0,3.251,3.251,6.889,8.956,-8.925,100.251,8.595,175.857,2.059,,,
4/1/1980 21:07,2.105,22.756,0.531,1.026,1078.9,998.011,0,3.123,3.123,6.297,8.956,-8.811,100.269,8.597,167.036,2.105,,,
4/1/1980 21:07,2.154,22.751,0.531,1.025,1078.8,998.012,0,3.356,3.356,7.393,8.956,-8.658,100.329,8.603,161.124,2.154,,,
4/1/1980 21:07,2.2,22.746,0.531,1.026,1079.2,998.013,0,3.213,3.213,7.467,8.956,-8.544,100.372,8.607,153.898,2.2,,,
4/1/1980 21:07,2.244,22.741,0.532,1.026,1079.8,998.015,0,3.251,3.251,7.808,8.955,-8.429,100.357,8.607,148.174,2.244,,,
4/1/1980 21:07,2.284,22.736,0.532,1.026,1079.8,998.016,0,3.236,3.236,7.141,8.954,-8.315,100.36,8.607,140.01,2.284,,,
4/1/1980 21:07,2.309,22.733,0.532,1.026,1080.2,998.017,0,3.116,3.116,6.371,8.954,-8.239,100.379,8.609,137.57,2.309,,,
4/1/1980 21:07,2.319,22.733,0.532,1.026,1080,998.017,0,3.176,3.176,6.03,8.953,-8.086,100.289,8.602,135.787,2.319,,,
4/1/1980 21:07,2.328,22.734,0.532,1.026,1079.8,998.017,0,3.131,3.131,5.971,8.953,-8.086,100.257,8.6,134.849,2.328,,,
4/1/1980 21:07,2.338,22.735,0.532,1.026,1080.2,998.017,0,3.176,3.176,6.682,8.953,-8.086,100.078,8.584,135.13,2.338,,,
4/1/1980 21:07,2.361,22.734,0.532,1.026,1079.9,998.017,0,3.161,3.161,6.43,8.953,-8.01,100.182,8.594,133.91,2.361,,,
4/1/1980 21:07,2.389,22.732,0.532,1.026,1079.8,998.018,0,3.228,3.228,6.919,8.953,-8.01,100.021,8.58,133.159,2.389,,,
4/1/1980 21:07,2.431,22.725,0.532,1.026,1079.9,998.02,0,3.341,3.341,7.23,8.953,-7.933,99.944,8.574,123.682,2.431,,,
4/1/1980 21:07,2.492,22.719,0.532,1.025,1079.6,998.021,0,3.176,3.176,6.43,8.953,-7.857,99.826,8.564,117.488,2.492,,,
4/1/1980 21:07,2.554,22.715,0.532,1.025,1079.8,998.022,0,3.236,3.236,6.489,8.953,-7.743,99.814,8.564,112.89,2.554,,,
4/1/1980 21:07,2.613,22.71,0.532,1.025,1079.8,998.024,0,3.176,3.176,6.489,8.953,-7.628,99.726,8.557,108.292,2.613,,,
4/1/1980 21:07,2.653,22.705,0.532,1.025,1079.9,998.025,0,3.318,3.318,6.741,8.952,-7.552,99.648,8.552,101.348,2.653,,,
4/1/1980 21:07,2.674,22.701,0.532,1.025,1080.1,998.026,0,3.086,3.086,5.971,8.951,-7.438,99.569,8.546,97.594,2.674,,,
4/1/1980 21:07,2.681,22.702,0.532,1.025,1079.9,998.026,0,3.041,3.041,5.69,8.951,-7.4,99.367,8.528,97.688,2.681,,,
4/1/1980 21:07,2.687,22.703,0.532,1.025,1080,998.026,0,3.116,3.116,6.075,8.951,-7.323,99.297,8.523,97.969,2.687,,,
4/1/1980 21:07,2.693,22.703,0.532,1.025,1080,998.026,0,3.206,3.206,7.037,8.951,-7.285,99.263,8.52,95.905,2.693,,,
4/1/1980 21:07,2.704,22.7,0.532,1.026,1080.5,998.027,0,3.251,3.251,6.504,8.951,-7.323,99.211,8.515,94.591,2.704,,,
4/1/1980 21:07,2.725,22.698,0.532,1.025,1080.2,998.027,0,3.228,3.228,5.971,8.951,-7.285,99.008,8.498,94.779,2.725,,,
4/1/1980 21:07,2.758,22.696,0.532,1.025,1080.1,998.028,0,3.176,3.176,5.823,8.951,-7.247,98.983,8.496,92.433,2.758,,,
4/1/1980 21:07,2.802,22.689,0.532,1.025,1080,998.03,0,3.378,3.378,6.401,8.951,-7.171,98.898,8.489,88.585,2.802,,,
4/1/1980 21:07,2.848,22.683,0.532,1.025,1080.1,998.031,0,3.296,3.296,6.045,8.951,-7.133,98.806,8.482,84.456,2.848,,,
4/1/1980 21:07,2.913,22.679,0.532,1.025,1080.1,998.033,0,3.078,3.078,5.971,8.951,-6.98,98.647,8.469,79.952,2.913,,,
4/1/1980 21:07,2.962,22.677,0.532,1.025,1080,998.033,0,3.183,3.183,6.489,8.951,-6.904,98.59,8.465,76.292,2.962,,,
4/1/1980 21:07,3.006,22.676,0.532,1.025,1079.9,998.034,0,3.183,3.183,6.43,8.95,-6.789,98.444,8.452,73.008,3.006,,,
4/1/1980 21:07,3.037,22.675,0.532,1.025,1080.2,998.034,0,3.288,3.288,6.045,8.95,-6.713,98.238,8.435,71.131,3.037,,,
4/1/1980 21:07,3.062,22.675,0.532,1.025,1080.3,998.034,0,3.108,3.108,5.571,8.95,-6.637,98.114,8.425,69.536,3.062,,,
4/1/1980 21:07,3.081,22.675,0.532,1.025,1080.6,998.034,0,3.206,3.206,5.705,8.949,-6.637,97.946,8.41,68.034,3.081,,,
4/1/1980 21:07,3.086,22.676,0.532,1.025,1080.4,998.034,0,3.198,3.198,6.09,8.949,-6.56,97.836,8.401,67.096,3.086,,,
4/1/1980 21:07,3.085,22.676,0.532,1.025,1080.4,998.034,0,3.168,3.168,5.808,8.949,-6.484,97.843,8.401,67.002,3.085,,,
4/1/1980 21:07,3.09,22.678,0.532,1.025,1080.3,998.034,0,3.191,3.191,5.29,8.949,-6.446,97.818,8.399,67.19,3.09,,,
4/1/1980 21:07,3.117,22.677,0.532,1.025,1080.4,998.034,0,3.243,3.243,5.645,8.949,-6.408,97.742,8.393,66.251,3.117,,,
4/1/1980 21:07,3.146,22.674,0.532,1.025,1080.4,998.035,0,3.61,3.61,6.756,8.949,-6.37,97.725,8.391,64.468,3.146,,,
4/1/1980 21:07,3.18,22.674,0.532,1.025,1080.5,998.035,0,3.468,3.468,6.223,8.949,-6.332,97.649,8.385,62.779,3.18,,,
4/1/1980 21:07,3.224,22.673,0.532,1.025,1080.4,998.036,0,3.236,3.236,6.341,8.949,-6.255,97.559,8.377,60.715,3.224,,,
4/1/1980 21:07,3.285,22.67,0.532,1.025,1080.5,998.036,0,3.296,3.296,6.889,8.949,-6.179,97.542,8.375,57.618,3.285,,,
4/1/1980 21:07,3.342,22.667,0.532,1.025,1080.3,998.037,0,3.191,3.191,5.868,8.949,-6.103,97.522,8.374,54.427,3.342,,,
4/1/1980 21:07,3.415,22.661,0.532,1.025,1080.4,998.039,0,3.153,3.153,5.542,8.949,-5.988,97.405,8.365,51.331,3.415,,,
4/1/1980 21:07,3.449,22.657,0.532,1.025,1080.6,998.04,0,3.288,3.288,5.897,8.949,-5.912,97.402,8.365,49.454,3.449,,,
4/1/1980 21:07,3.474,22.654,0.532,1.025,1080.8,998.041,0,3.243,3.243,6.075,8.948,-5.836,97.387,8.365,48.14,3.474,,,
4/1/1980 21:07,3.491,22.653,0.532,1.025,1080.9,998.041,0,3.273,3.273,6.223,8.948,-5.798,97.404,8.367,47.202,3.491,,,
4/1/1980 21:07,3.505,22.649,0.532,1.025,1081,998.042,0,3.296,3.296,6.223,8.948,-5.76,97.446,8.371,46.733,3.505,,,
4/1/1980 21:07,3.511,22.647,0.532,1.025,1081.2,998.043,0,3.363,3.363,7.126,8.948,-5.76,97.396,8.367,46.263,3.511,,,
4/1/1980 21:07,3.526,22.647,0.532,1.025,1081.2,998.043,0,3.236,3.236,6.327,8.949,-5.721,97.336,8.362,45.888,3.526,,,
4/1/1980 21:07,3.568,22.645,0.532,1.025,1081,998.044,0,3.281,3.281,6.134,8.949,-5.683,97.294,8.358,44.856,3.568,,,
4/1/1980 21:07,3.618,22.644,0.532,1.025,1081.1,998.044,0,3.438,3.438,6.415,8.949,-5.721,97.364,8.364,42.885,3.618,,,
4/1/1980 21:07,3.665,22.641,0.532,1.025,1081,998.045,0,3.258,3.258,6.327,8.949,-5.607,97.318,8.361,41.008,3.665,,,
4/1/1980 21:07,3.707,22.64,0.532,1.025,1081.3,998.046,0,3.401,3.401,6.667,8.949,-5.531,97.187,8.35,39.413,3.707,,,
4/1/1980 21:07,3.736,22.638,0.532,1.025,1081.4,998.046,0,3.378,3.378,6.771,8.949,-5.493,97.174,8.35,38.287,3.736,,,
4/1/1980 21:07,3.753,22.633,0.533,1.025,1081.8,998.048,0,3.505,3.505,7.289,8.949,-5.378,97.144,8.348,37.63,3.753,,,
4/1/1980 21:07,3.761,22.631,0.533,1.025,1081.5,998.048,0,3.386,3.386,6.756,8.949,-5.302,97.023,8.338,37.255,3.761,,,
4/1/1980 21:07,3.765,22.63,0.533,1.025,1081.9,998.049,0,3.281,3.281,6.238,8.949,-5.226,96.981,8.334,37.255,3.765,,,
4/1/1980 21:07,3.778,22.629,0.533,1.025,1081.8,998.049,0,3.191,3.191,6.312,8.949,-5.187,96.975,8.333,37.067,3.778,,,
4/1/1980 21:07,3.812,22.626,0.533,1.025,1081.7,998.05,0,3.258,3.258,5.956,8.949,-5.111,96.85,8.324,35.847,3.812,,,
